SERIE,FECHA,HI,DGA,ACE,ARR,AIS,NUC,OLTC,BUS
123159T,1999-04-06,1.2424242424242424,1.0,2.4545454545454546,,1.0,,,
123159T,2000-04-11,1.5454545454545456,1.0,4.2727272727272725,,1.0,,,
123159T,2001-04-19,1.2424242424242424,1.0,2.4545454545454546,,1.0,,,
123159T,2002-09-23,1.2424242424242424,1.0,2.4545454545454546,,1.0,,,
123159T,2003-11-06,1.153846153846154,1.0,1.9230769230769231,,1.0,,,
123159T,2004-02-10,1.2222222222222223,1.0,2.3333333333333335,,1.0,,,
123159T,2005-05-13,1.2222222222222223,1.0,2.3333333333333335,,1.0,,,
123159T,2006-11-24,1.1666666666666667,1.0,2.0,,1.0,,,
123159T,2008-07-22,1.0588235294117647,1.0,1.3529411764705883,,1.0,,,
123159T,2008-10-23,1.3333333333333333,1.0,3.0,,1.0,,,
123159T,2009-10-19,1.25,1.0,2.5,,1.0,,,
123159T,2010-05-20,1.2222222222222223,1.0,2.3333333333333335,,1.0,,,
123159T,2010-07-06,1.0,1.0,1.0,,1.0,,,
123159T,2011-03-21,1.0,1.0,1.0,,1.0,,,
123159T,2012-01-26,1.0,1.0,1.0,,1.0,,,
123159T,2013-03-11,1.0,1.0,1.0,,1.0,,,
123159T,2013-12-17,1.0,1.0,1.0,,1.0,,,
123159T,2014-12-10,1.0,1.0,1.0,,1.0,,,
123159T,2016-01-11,1.0,1.0,1.0,,1.0,,,
123159T,2017-09-07,1.0,1.0,1.0,,1.0,,,
123159T,2017-09-13,1.25,1.6,1.0,,1.0,,,
123159T,2017-10-09,1.25,1.6,1.0,,1.0,,,
123159T,2017-11-07,1.0,1.0,1.0,,1.0,,,
123159T,2018-07-30,1.196078431372549,1.0,2.176470588235294,,1.0,,,
123159T,2019-04-16,1.0,1.0,1.0,,1.0,,,
123159T,2020-07-01,1.0,1.0,1.0,,1.0,,,
123159T,2021-08-02,1.1587301587301588,1.0,1.9523809523809523,,1.0,,,
123159T,2022-02-05,1.0,1.0,1.0,,1.0,,,
123159T,2022-05-02,1.0,1.0,1.0,,1.0,,,
123159T,2023-10-29,1.0,1.0,1.0,,1.0,,,
123159T,2024-01-29,1.0,1.0,1.0,,1.0,,,
123159T,2025-02-10,1.0,1.0,1.0,,1.0,,,
123159T,2025-06-04,1.0,1.0,1.0,,1.0,,,
123160T,1991-10-10,2.25,1.0,1.0,,4.0,,,
123160T,1995-10-05,2.5833333333333335,1.0,3.0,,4.0,,,
123160T,1996-07-09,2.734848484848485,1.0,3.909090909090909,,4.0,,,
123160T,1997-07-09,2.6944444444444446,1.0,3.6666666666666665,,4.0,,,
123160T,1998-08-06,2.4924242424242427,1.0,2.4545454545454546,,4.0,,,
123160T,1999-08-12,2.6944444444444446,1.0,3.6666666666666665,,4.0,,,
123160T,2000-07-25,2.643939393939394,1.0,3.3636363636363638,,4.0,,,
123160T,2001-01-11,2.4924242424242427,1.0,2.4545454545454546,,4.0,,,
123160T,2001-06-13,2.4924242424242427,1.0,2.4545454545454546,,4.0,,,
123160T,2001-06-24,2.6944444444444446,1.0,3.6666666666666665,,4.0,,,
123160T,2002-02-04,2.4924242424242427,1.0,2.4545454545454546,,4.0,,,
123160T,2003-02-24,2.6944444444444446,1.0,3.6666666666666665,,4.0,,,
123160T,2004-03-07,2.75,1.0,4.0,,4.0,,,
123160T,2005-06-14,2.75,1.0,4.0,,4.0,,,
123160T,2006-08-07,2.75,1.0,4.0,,4.0,,,
123160T,2006-11-17,2.406862745098039,1.0,1.9411764705882353,,4.0,,,
123160T,2008-08-20,2.388888888888889,1.0,1.8333333333333333,,4.0,,,
123160T,2008-10-27,2.5833333333333335,1.0,3.0,,4.0,,,
123160T,2009-06-02,2.5833333333333335,1.0,3.0,,4.0,,,
123160T,2009-10-14,2.4166666666666665,1.0,2.0,,4.0,,,
123160T,2010-05-13,2.638888888888889,1.0,3.3333333333333335,,4.0,,,
123160T,2010-08-14,2.25,1.0,1.0,,4.0,,,
123160T,2011-04-24,2.25,1.0,1.0,,4.0,,,
123160T,2012-01-24,2.25,1.0,1.0,,4.0,,,
123160T,2013-03-13,2.25,1.0,1.0,,4.0,,,
123160T,2013-12-19,2.25,1.0,1.0,,4.0,,,
123160T,2014-12-11,2.25,1.0,1.0,,4.0,,,
123160T,2016-01-12,2.25,1.0,1.0,,4.0,,,
123160T,2017-07-04,2.25,1.0,1.0,,4.0,,,
123160T,2018-07-31,2.25,1.0,1.0,,4.0,,,
123160T,2019-04-22,2.4460784313725488,1.0,2.176470588235294,,4.0,,,
123160T,2020-06-12,2.4460784313725488,1.0,2.176470588235294,,4.0,,,
123160T,2021-07-13,2.25,1.0,1.0,,4.0,,,
123160T,2022-07-04,2.25,1.0,1.0,,4.0,,,
123160T,2025-02-11,2.25,1.0,1.0,,4.0,,,
123160T,2025-09-07,2.25,1.0,1.0,,4.0,,,
123161T,1992-03-21,1.4761904761904763,1.0,3.857142857142857,,1.0,,,
123161T,1995-05-08,1.4761904761904763,1.0,3.857142857142857,,1.0,,,
123161T,1996-05-07,1.0833333333333333,1.0,1.5,,1.0,,,
123161T,1997-04-14,1.1818181818181819,1.0,2.090909090909091,,1.0,,,
123161T,1998-04-13,1.1818181818181819,1.0,2.090909090909091,,1.0,,,
123161T,1999-04-06,1.1818181818181819,1.0,2.090909090909091,,1.0,,,
123161T,1999-08-23,1.4444444444444444,1.0,3.6666666666666665,,1.0,,,
123161T,2000-04-11,1.4444444444444444,1.0,3.6666666666666665,,1.0,,,
123161T,2001-03-29,1.2424242424242424,1.0,2.4545454545454546,,1.0,,,
123161T,2002-04-16,1.4444444444444444,1.0,3.6666666666666665,,1.0,,,
123161T,2004-03-07,1.5925925925925926,1.0,4.555555555555555,,1.0,,,
123161T,2004-10-26,1.5925925925925926,1.0,4.555555555555555,,1.0,,,
123161T,2004-10-27,1.5416666666666667,1.0,4.25,,1.0,,,
123161T,2004-10-28,1.0,1.0,1.0,,1.0,,,
123161T,2004-11-04,1.4814814814814816,1.0,3.888888888888889,,1.0,,,
123161T,2005-06-08,1.0,1.0,1.0,,1.0,,,
123161T,2006-11-19,1.1666666666666667,1.0,2.0,,1.0,,,
123161T,2008-07-22,1.0,1.0,1.0,,1.0,,,
123161T,2008-10-23,1.1818181818181819,1.0,2.090909090909091,,1.0,,,
123161T,2009-10-16,1.0833333333333333,1.0,1.5,,1.0,,,
123161T,2010-05-18,1.0833333333333333,1.0,1.5,,1.0,,,
123161T,2011-04-20,1.0833333333333333,1.0,1.5,,1.0,,,
123161T,2012-01-25,1.0833333333333333,1.0,1.5,,1.0,,,
123161T,2013-03-12,1.0833333333333333,1.0,1.5,,1.0,,,
123161T,2013-12-18,1.1666666666666667,1.0,2.0,,1.0,,,
123161T,2014-12-11,1.1111111111111112,1.0,1.6666666666666667,,1.0,,,
123161T,2019-01-26,1.1111111111111112,1.0,1.6666666666666667,,1.0,,,
123161T,2019-02-04,1.1111111111111112,1.0,1.6666666666666667,,1.0,,,
123161T,2019-04-17,1.0,1.0,1.0,,1.0,,,
123161T,2019-11-12,1.0,1.0,1.0,,1.0,,,
123161T,2020-06-14,1.0,1.0,1.0,,1.0,,,
123161T,2021-07-04,1.1587301587301588,1.0,1.9523809523809523,,1.0,,,
123161T,2022-04-07,1.1587301587301588,1.0,1.9523809523809523,,1.0,,,
123161T,2022-07-04,1.0,1.0,1.0,,1.0,,,
123161T,2023-07-31,1.0,1.0,1.0,,1.0,,,
123161T,2025-02-06,1.0,1.0,1.0,,1.0,,,
123161T,2025-07-17,1.0,1.0,1.0,,1.0,,,
132006T1,2020-01-01,1.05484298982751,1.0,1.2857142857142858,1.0,1.0,1.0,,1.4705882352941178
132006T1,2020-09-30,1.05484298982751,1.0,1.2857142857142858,1.0,1.0,1.0,,1.4705882352941178
132006T1,2022-04-13,1.05484298982751,1.0,1.2857142857142858,1.0,1.0,1.0,,1.4705882352941178
132006T1,2023-08-13,1.05484298982751,1.0,1.2857142857142858,1.0,1.0,1.0,,1.4705882352941178
132006T1,2023-10-23,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
132006T1,2025-02-09,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
132006T1,2025-09-01,1.024767801857585,1.0,1.0,1.0,1.0,1.0,,1.4705882352941178
146659T1,2014-01-18,1.1491228070175439,1.3,1.0,1.0,1.0,1.0,,2.3333333333333335
146659T1,2014-03-04,1.1491228070175439,1.3,1.0,1.0,1.0,1.0,,2.3333333333333335
146659T1,2014-03-19,1.7807017543859651,1.3,1.0,1.0,3.4,1.0,,2.3333333333333335
146659T1,2014-12-15,1.7807017543859651,1.3,1.0,1.0,3.4,1.0,,2.3333333333333335
146659T1,2015-03-23,2.2017543859649122,1.3,5.0,1.0,3.4,1.0,,2.3333333333333335
146659T1,2015-03-31,1.9912280701754388,1.3,3.0,1.0,3.4,1.0,,2.3333333333333335
146659T1,2015-04-22,1.7807017543859651,1.3,1.0,1.0,3.4,1.0,,2.3333333333333335
146659T1,2016-01-12,1.7807017543859651,1.3,1.0,1.0,3.4,1.0,,2.3333333333333335
146659T1,2017-07-04,1.7807017543859651,1.3,1.0,1.0,3.4,1.0,,2.3333333333333335
146659T1,2018-07-30,1.7807017543859651,1.3,1.0,1.0,3.4,1.0,,2.3333333333333335
146659T1,2019-04-17,1.1491228070175439,1.3,1.0,1.0,1.0,1.0,,2.3333333333333335
146659T1,2019-08-14,1.0789473684210527,1.3,1.0,1.0,1.0,1.0,,1.0
146659T1,2020-06-14,1.0789473684210527,1.3,1.0,1.0,1.0,1.0,,1.0
146659T1,2021-07-04,1.0789473684210527,1.3,1.0,1.0,1.0,1.0,,1.0
146659T1,2022-04-04,1.0789473684210527,1.3,1.0,1.0,1.0,1.0,,1.0
146659T1,2023-08-28,1.0789473684210527,1.3,1.0,1.0,1.0,1.0,,1.0
146659T1,2025-02-04,1.0789473684210527,1.3,1.0,1.0,1.0,1.0,,1.0
146659T1,2025-06-27,1.0789473684210527,1.3,1.0,1.0,1.0,1.0,,1.0
146659T2,2014-01-30,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2014-03-15,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2014-04-28,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2014-05-07,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2014-08-07,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2014-12-11,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2016-01-12,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2017-07-04,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2018-07-30,1.0300751879699248,1.0,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2019-04-17,1.1090225563909775,1.3,1.0,1.0,1.0,1.0,,1.5714285714285714
146659T2,2019-04-25,1.9511278195488722,1.3,1.0,5.0,1.0,1.0,,1.5714285714285714
146659T2,2020-06-14,1.8721804511278195,1.0,1.0,5.0,1.0,1.0,,1.5714285714285714
146659T2,2021-05-07,1.8721804511278195,1.0,1.0,5.0,1.0,1.0,,1.5714285714285714
146659T2,2021-07-05,1.8721804511278195,1.0,1.0,5.0,1.0,1.0,,1.5714285714285714
146659T2,2022-04-07,1.8721804511278195,1.0,1.0,5.0,1.0,1.0,,1.5714285714285714
146659T2,2022-07-04,1.8721804511278195,1.0,1.0,5.0,1.0,1.0,,1.5714285714285714
