SERIE;FECHA;HI;DGA;ACE;ARR;AIS;NUC;OLTC;BUS
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
