SERIE;FECHA;HI;DGA;ACE;ARR;AIS;NUC;OLTC;BUS
123160T;4/07/2017;1;;1;;;;;
123160T;31/07/2018;1;;1;;;;;
123160T;22/04/2019;2.176470588;;2.176470588;;;;;
123160T;12/06/2020;2.176470588;;2.176470588;;;;;
123160T;13/07/2021;1;;1;;;;;
123160T;4/07/2022;1;;1;;;;;
123160T;11/02/2025;1;1;1;;;;;
123160T;7/09/2025;;;;;;;;
123161T;21/03/1992;3.857142857;;3.857142857;;;;;
123161T;8/05/1995;3.857142857;;3.857142857;;;;;
123161T;7/05/1996;1.5;;1.5;;;;;
123161T;14/04/1997;2.090909091;;2.090909091;;;;;
123161T;13/04/1998;2.090909091;;2.090909091;;;;;
123161T;6/04/1999;2.090909091;;2.090909091;;;;;
123161T;23/08/1999;3.666666667;;3.666666667;;;;;
123161T;11/04/2000;3.666666667;;3.666666667;;;;;
123161T;29/03/2001;2.454545455;;2.454545455;;;;;
123161T;16/04/2002;3.666666667;;3.666666667;;;;;
123161T;7/03/2004;4.555555556;;4.555555556;;;;;
123161T;26/10/2004;4.555555556;;4.555555556;;;;;
123161T;27/10/2004;4.25;;4.25;;;;;
123161T;28/10/2004;1;;1;;;;;
123161T;4/11/2004;3.888888889;;3.888888889;;;;;
123161T;8/06/2005;1;;1;;;;;
123161T;19/11/2006;2;;2;;;;;
123161T;22/07/2008;1;;1;;;;;
123161T;23/10/2008;2.090909091;;2.090909091;;;;;
123161T;16/10/2009;1.5;;1.5;;;;;
123161T;18/05/2010;1.5;;1.5;;;;;
123161T;20/04/2011;1.5;;1.5;;;;;
123161T;25/01/2012;1.5;;1.5;;;;;
123161T;12/03/2013;1.5;;1.5;;;;;
123161T;18/12/2013;2;;2;;;;;
123161T;11/12/2014;1.666666667;;1.666666667;;;;;
123161T;26/01/2019;1;1;;;;;;
123161T;4/02/2019;1;1;;;;;;
123161T;17/04/2019;1;;1;;;;;
123161T;12/11/2019;1;1;;;;;;
123161T;14/06/2020;1;1;1;;;;;
123161T;4/07/2021;1.272108844;1;1.952380952;;;;;
123161T;7/04/2022;1;1;;;;;;
123161T;4/07/2022;1;;1;;;;;
123161T;31/07/2023;1;1;1;;1;;;
123161T;6/02/2025;1;1;1;;;;;
123161T;17/07/2025;;;;;;;;
132006T1;1/01/2020;1;;;;1;;;
132006T1;30/09/2020;1;1;;;;;;
132006T1;13/04/2022;1.081632653;1;1.285714286;;;;;
132006T1;13/08/2023;1.039215686;;;1;1;1;;1.470588235
132006T1;23/10/2023;1;1;1;;;;;
132006T1;9/02/2025;1;1;1;;;;;
132006T1;1/09/2025;;;;;;;;
146659T1;18/01/2014;1;;;1;1;1;;
146659T1;4/03/2014;1;;1;;;;;
146659T1;19/03/2014;2.666666667;;;;3.4;1;;2.333333333
146659T1;15/12/2014;1;;1;;;;;
146659T1;23/03/2015;5;;5;;;;;
146659T1;31/03/2015;3;;3;;;;;
146659T1;22/04/2015;1;;1;;;;;
146659T1;12/01/2016;1;;1;;;;;
146659T1;4/07/2017;1;;1;;;;;
146659T1;30/07/2018;1;;1;;;;;
146659T1;17/04/2019;1.125;1.3;1;;1;;;
146659T1;14/08/2019;1;;;1;1;1;;1
146659T1;14/06/2020;1.214285714;1.3;1;;;;;
146659T1;4/07/2021;1.214285714;1.3;1;;;;;
146659T1;4/04/2022;1.214285714;1.3;1;;;;;
146659T1;28/08/2023;1.214285714;1.3;1;;;;;
146659T1;4/02/2025;1.214285714;1.3;1;;;;;
146659T1;27/06/2025;;;;;;;;
146659T2;30/01/2014;1;1;1;;;;;
146659T2;15/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T2;28/04/2014;1;1;;;;;;
146659T2;7/05/2014;1;1;;;;;;
146659T2;7/08/2014;1;1;;;;;;
146659T2;11/12/2014;1;1;1;;;;;
146659T2;12/01/2016;1;1;1;;;;;
146659T2;4/07/2017;1;1;1;;;;;
146659T2;30/07/2018;1;1;1;;;;;
146659T2;17/04/2019;1.214285714;1.3;1;;;;;
146659T2;25/04/2019;2.454545455;;;5;1;1;;
146659T2;14/06/2020;1;1;1;;;;;
146659T2;7/05/2021;1;;;;1;;;
146659T2;5/07/2021;1;1;1;;;;;
146659T2;7/04/2022;1;1;;;;;;
146659T2;4/07/2022;1;;1;;;;;
146659T2;28/08/2023;1;1;1;;;;;
146659T2;6/02/2025;1;1;1;;;;;
146659T2;8/06/2025;;;;;;;;
146659T3;15/03/2014;1.43956044;1;2.538461538;;;;;
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
146659T3;20/03/2014;1.047619048;;;1;1;1;;1.571428571
